Layoffs per Year,,,,,,,
Total Layoffs,Company Name,,,,,,
Month,AI,Cloud,Cybersecurity,E-Commerce,FinTech,Gaming,Social Media
2024,2917298,2609299,2949334,2896858,2880869,2875810,3178402
2025,2780347,2811115,2712281,2802203,2902087,2853531,2899468
2026,3053881,2782425,2908012,2919290,2623785,2823623,2934947
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Salary_budget_change by Company_Size,,,,,,,
Company_Size,Salary Budget Change,,,,,,
Big Tech,6.15,,,,,,
Enterprise,5.97,,,,,,
Mid-size,6.00,,,,,,
Startup,5.56,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Revenue Growth by Country,,,,,,,
Country,Revenue Growth Percent,,,,,,
Canada,16.87,,,,,,
Germany,18.12,,,,,,
India,16.99,,,,,,
Singapore,17.81,,,,,,
UK,17.39,,,,,,
USA,17.62,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
AI Replacement Risk by Industry,,,,,,,
Layoff_reason,AI Replacement Risk,,,,,,
AI,7.22,,,,,,
Cloud,7.21,,,,,,
Cybersecurity,7.19,,,,,,
E-Commerce,7.25,,,,,,
FinTech,7.17,,,,,,
Gaming,7.16,,,,,,
Social Media,7.26,,,,,,
,,,,,,,
Reasons for Layoff,,,,,,,
Layoff_reason,Frequency,,,,,,
AI Automation,2435.00,,,,,,
Overhiring Correction,2433.00,,,,,,
Restructuring,2401.00,,,,,,
Cost Cutting,2397.00,,,,,,
Market Slowdown,2334.00,,,,,,
,,,KPIs,,,,
Industry Search,,,Total Layoffs,60114865,,,
Company Name,Adobe,,,,,,
Industry,Cloud,,Total open Roles,34612740,,,
,,,,,,,
,,,Avg employee Sentiment,6.5,,,
,,,,,,,
Layoff Counts,,,,,,,
Company Name,Adobe,,,,,,
Layoff Count,3454,,,,,,
